	0	1	2	3
421	H024 - Hosanna (Hillsong)	I see the King of glory coming on the clouds with fire	74.5	[E]
422	I030 - It Is Well With My Soul	When peace like a river attendeth my way	87.0	[G]
423	O016 - Open Heaven (River Wild)		138.0	[C]
424	O017 - Open The Eyes Of My Heart	Open the eyes of my heart, Lord	108.0	[E]
425	A029 - At The Cross (Love Ran Red)		146.0	[G]
426	E004 - Ever Be		134.0	[D]
427	R005 - Resurrecting		148.0	[A, C]
428	G011 - God Of Ages	God of ages  bringing glory here		[G]
429	M008 - Mighty To Save	Everyone needs compassion	146.0	[A]
430	T014－This Is How We Know	This is how we know  this is how we know what love is	72.5	[G]
431	O020 - Our God		107.5	[A]
432	S017 - Sovereign	Sovereign in the mountain air sovereign on the ocean floor	142.0	[A]
433	G017 - Grace So Glorious	Beneath the cross of Jesus Christ		[C]
434	R010 - The Rock Won't Move			[A]
435	T015 - This Is My Father's World	This is my Father's world, and to my listening ears	95.0	[C]
436	M010 - Multiply	 I don’t have much 		[G]
437	G019 - Great Great God		142.7	[A]
438	M011 - My Glorious	The world’s shaking with the love of God 		[A]
439	G020 - Great I Am	  I wanna be close close to Your side 		[D]
440	C017 - Cornerstone	 My hope is built on nothing less	148.0	[C]
441	P004 - Presence Power Glory		142.5	[G]
442	M013 - My Heart Is Yours	I give You my life 	144.0	[G]
443	B006 - Beneath The Waters (I Will Rise)	This is my revelation 	157.0	[A]
444	G023 - Greater		148.0	[G]
445	R001 - Raised To Life	Precious compassion that pours 	156.0	[C]
446	T018 - Tis So Sweet To Trust In Jesus	’Tis so sweet to trust in Jesus,	80.0	[G]
447	R006 - Rise	 All the earth come alive, lift your eyes to the morning 		[A]
448	H003 - He Is Exalted	He is exalted		[E]
449	R007 - Running	Ready at the line looking out, looking out to all that's ahead		[A]
450	S003 - Satisfied	 When all the wind of my cares knock me down   		[A]
451	T020 - To The Ends Of The Earth	Love unfailing   overtaking my heart    		[G]
452	S004 - Saviour King	Let now the weak say I have strength		[E]
453	S006 - Send Me Out	Jesus Lord of my salvation Savior of my soul		[G]
454	H026 - Hosanna (Be Lifted Higher)	In the highest		[G]
455	Y005 - You Are Here (The Same Power)	There is a love that I know  	151.0	[B]
456	G001 - Give Me Faith	I need You to soften my heart	143.0	[A]
457	Y016 - You Said	You said ask and you will receive   whatever you need 		[A]
458	S019 - Stay Amazed	You are enthroned above the heavens 		[A]
459	S020 - Step by Step	"O God You are my God	"		[G]
460	S025 - Stronger	There is love that came for us	140.0	[C]
461	H032 - How He Loves	He is jealous for me	149.0	[C]
462	Y014 - You Never Let Go	Even though I walk through the valley of the shadow of death		[A]
463	Y013 - You Never Fail		146.0	[G]
464	X006 - O Come O Come Emmanuel	O come, O come, Emmanuel	142.5	[G]
465	H008 - Hear Our Praises	May our homes be filled with dancing		[C]
466	H010 - Heaven And Earth			[E]
467	H011 - Here For You	Let our praise be Your welcome    let our songs be a sign	170.0	[B]
468	T007 - Testify to Love	All the colors of the rainbow, all the voices of the wind		[C]
469	T008 - Thank You	Thank You for Your kindness   thank You for Your mercy	145.0	[C]
470	A033 - The Anthem	By His stripes we are healed	146.0	[G]
471	L017 - The Lord Our God	 Promise Maker, promise Keeper	152.0	[A]
472	N004 - No Longer Slaves	You unravel me with a melody	148.0	[A]
473	N005 - No One Higher	Our Father Creator 	143.0	[A]
474	N006 - No Other Name	One Name holds weight above them all	148.0	[G]
475	Y020 - Your Love Never Fails	Nothing can separate    	120.0	[A]
476	O025 - The Old Rugged Cross	On a hill far away stood an old rugged cross	84.0	[G]
477	P008 - The Power Of Your Name	Surely children weren’t made for the streets		[A]
478	S027 - The Solid Rock	"My hope is built on nothing less	   "	142.0	[D]
479	O006 - On The Throne	Em   C   G 		[G]
480	N011 - Nothing But The Blood (Your Blood)	Your blood speaks a better word		[A]
481	S028 - The Stand	You stood before creation, eternity in Your hand	75.0	[A]
482	T009 - The Time Has Come	Found love beyond all reason	152.0	[G]
483	O002 - O Praise The Name (Anastasis)		145.0	[A, A]
484	S024 - Strong To Save		81.5	[B]
485	H030 - How Great Is Our God	The splendor of the King clothed in majesty	143.0	[A]
486	S008 - Set Apart			[A]
487	B013 - Break Every Chain	There is power in the name of Jesus  (x3)		[A]
488	C001 - Came To My Rescue	Falling on my knees in worship	82.0	[C]
489	S010 - Shout To The Lord	 My Jesus, my Savior, Lord there is none like You		[A]
490	S011 - Shout Unto God	The enemy has been defeated	147.0	[A]
491	T022 - Trust And Obey	When we walk with the Lord in the light of His Word 	168.0	[Bb]
492	W021 - Wonderful Merciful Savior	Wonderful, merciful Savior		[C]
493	C006 - Christ Is Enough	Christ is my reward 	160.0	[A]
494	C014 - Come To The Water	Come, come to the water		[C]
495	V001 - Victor's Crown	"You are always fighting for us 	heaven’s angels all around "		[C]
496	W008 - We Speak To Nations	Hear the sound the sound of the nations calling		[F]
497	W009 - We The Redeemed	There is nothing like Your love    no exchange for all You gave	73.8	[E]
498	W013 - When The Fight Calls	You’ve overcome this world with love	163.0	[C]
499	W015 - Who May Ascend	Who may ascend the hill of the Lord?	93.0	[A]
500	W017 - Wholly Yours	 I am full of earth You are heaven’s worth	153.0	[A]
501	I017 - I Will Follow	All Your ways are good, all Your ways are sure		[G]
502	I024 - In Christ Alone (Passion)	In Christ alone my hope is found	136.0	[E]
503	T006 - Tell The World	Don’t wanna stand here and shout Your praise		[A]
504	G009 - God Is Able	God is able   He will never fail	158.0	[A]
505	F011 - For Who You Are	   Standing here in Your presence	115.2	[E]
506	F013 - Forever (We Sing Hallelujah)		143.0	[G]
507	F014 - Forever Reign	You are good You are good when there's nothing good in me	83.0	[C]
508	F019 - From The Inside Out	A thousand times I’ve failed still Your mercy remains	137.0	[C]
509	G007 - God Be Praised/Our God Reigns	  Across the earth we see worshippers believe	144.0	[A]
510	G004 - Glorious Ruins	When the mountains fall		[E]
511	F010 - For The Sake Of The World	  I'm laying down my life     I’m giving up control	77.0	[G]
512	F016 - Free	Who will free me from this body of death		[G]
513	A032 - Alive in You	 	153.0	[G]
514	Y023 - Yes And Amen		144.0	[D]
515	H005 - Hallelujah (Our God Reigns)	Hallelujah 	153.0	[G]
516	R008 - Radiant	From far above the sky You shine Your glory	135.0	[G]
517	T023 - This We Know	You are who You say You are	148.0	[B]
518	A001 - A New Hallelujah	Can you hear there's a new song		[A]
519	X010 - Hark The Herald Angels Sing	Hark the herald angels sing	81.5	[D]
520	M015 - More And More	All we want and all we need is found in Jesus	150.0	[G]
521	I031 - In God We Trust	G D A Bm	161.0	[D]
522	W022 - What A Beautiful Name	Verse 1	136.0	[D]
523	G026 - Grace To Grace		121.0	[F]
524	P007 - Praise The King	There’s a reason why the curse of sin is broken	147.0	[C]
525	B019 - Build My Life		140.0	[G]
526	H037 - Here I Am Send Me	Bb | Dm | C/E | F | F/A	152.0	[F]
527	L018 - The Lion And The Lamb	B | / / C#m / | E | E :||	176.0	[B]
528	B020 - Boldly I Approach	 By grace alone somehow I stand 	138.0	[G]
529	M018 - My One My All	Just one touch               	77.0	[Db]
530	T024 - Tremble	Peace, bring it all to peace	148.0	[C]
531	God's Love & as Father			
532	A012 - All I Really Want	Lord I love the way You love me  		[E]
533	A020 - Always Enough	In a dry and weary land		[G]
534	G015 - Good Good Father	I've heard a thousand stories of what they think You're like	142.0	[G]
535	Y018 - Your Beloved	Lord it was You who created the heavens 		[G]
536	J002 - Jesus Loves Me		82.0	[C]
537	J011 - Jesus, Your Love		126.0	[D]
538	L014 - Love Like Fire	I am desperate for Your touch 		[E]
539	O011 - One Thing Remains	Higher than the mountains that I face	144.0	[A]
540	G014 - God's Romance	There's a song that everyone can sing		[A]
541	S015 - Sinking Deep	Standing here in Your presence	140.0	[G]
542	P002 - The Power Of Your Love	Lord I come to You, let my heart be changed, renewed		[G]
543	T016 - This Is Our God	"A refuge for the poor a shelter from the storm this is our God	"		[E]
544	H001 - Hallelujah (Your love is amazing)	Your love is amazing steady and unchanging		[G]
545	H004 - He Knows My Name	     I have a Maker		[E]
546	H027 - House of the Lord	I love to live in Your house, O Lord		[E]
547	H029 - How Deep The Father's Love For Us	How deep the Father's love for us	118.0	[D, G]
548	B008 - Better Than Life	Better than the riches of this world		[G, None]
549	F001 - Faithful Father	Father, I can’t explain this kind of love		[G]
550	Y015 - You Rescued Me	You rescued me and picked me up		[E]
551	H032 - How He Loves	He is jealous for me	149.0	[C]
552	N004 - No Longer Slaves	You unravel me with a melody	148.0	[A]
553	Y020 - Your Love Never Fails	Nothing can separate    	120.0	[A]
554	H017 - His Banner Over Me	He brought me to His banqueting table (echo)	110.0	[G]
555	B016 - Broken Vessels (Amazing Grace)	Em   G   Em   G	141.0	[G]
556	U001 - Unashamed	I have not much to offer You, not near what You deserve		[E]
557	C008 - Closer (Pull Me A Little Closer)	Your love has ravished my heart	70.0	[G]
558	C010 - Come As You Are	Come out of sadness from wherever you've been		[C]
559	C011 - Come Home Running	Oh heart of mine, why must you stray		[A]
560	I005 - I Could Sing Of Your Love Forever	Over the mountains and the sea,  Your river runs with love for me	90.0	[E]
561	W005 - We Cry Out	Father of life, seated on Your throne of grace		[G]
562	J012 - Jesus I Come	       	140.0	[D]
563	Surrender			
564	A006 - Alabaster Jar	This alabaster jar is all I have of worth	144.0	[G]
565	K004 - Knowing You	All I once held dear, built my life upon		[C]
566	L008 - Lifesong	Empty Hands held high such a small sacrifice		[A]
567	L014 - Love Like Fire	I am desperate for Your touch 		[E]
568	L003 - Let It Be Jesus	Let it be Jesus      the first name that I call	68.0	[G]
569	O016 - Open Heaven (River Wild)		138.0	[C]
570	L001 - Lay Me Down	With this heart open wide  	136.0	[C]
571	A029 - At The Cross (Love Ran Red)		146.0	[G]
572	S016 - Something More	Here at Your feet, I lay down my dreams		[C]
573	I015 - I Surrender All	All to Jesus I surrender	152.0	[D]
574	M013 - My Heart Is Yours	I give You my life 	144.0	[G]
575	P006 - Pursuit	Strip everything away    	144.0	[A]
576	R004 - Reign In Us	You thought of us before the world began to breathe	144.0	[A]
577	S002 - Sanctuary	Pure and holy, tried and true		[D]
578	E008 - Everything And Nothing Less	  Humbly I stand, an offering  	142.0	[G]
579	T002 - Take It All	Searching the world the lost will be found	152.0	[B]
580	T003 - Take My Life	Holiness, holiness is what I long for 		[G]
581	T004 - Take My Life (Here Am I)	Take my life and let it be consecrated Lord to Thee	86.0	[D]
582	T005 - Take My Life and Let It Be	Take my life and let it be consecrated Lord to Thee		[D]
583	H016 - Here's My Heart	Here’s my heart Lord (3X)	81.0	[A]
584	S028 - The Stand	You stood before creation, eternity in Your hand	75.0	[A]
585	H025 - Hungry	Hungry I come to You for I know You satisfy		[E]
586	Y001 - You	Invading all my weakness You wrapped me up in grace 	143.0	[A]
587	I004 - I Come	I come to give  an offering		[G]
588	I007 - I Give Myself Away	I give myself away    		[D]
589	I008 - I Give You My Heart	This is my desire to honor You		[G]
590	I010 - I Need You	I am frail, broken easily		[A]
591	I011 - I Need You More	I need You more, more than yesterday		[D]
592	I014 - I Surrender	Here I am, down on my knees again	154.0	[E]
593	W007 - We Fall Down	We fall down, we lay our crowns	136.0	[D]
594	W015 - Who May Ascend	Who may ascend the hill of the Lord?	93.0	[A]
595	I017 - I Will Follow	All Your ways are good, all Your ways are sure		[G]
596	I022 - If I Have You	 I don’t need the riches of this world	140.0	[E]
597	D003 - Do What You Want To	It's Your heart we're searching for 	115.0	[D]
598	F019 - From The Inside Out	A thousand times I’ve failed still Your mercy remains	137.0	[C]
599	G006 - Go	In the Father there is freedom	150.0	[A]
600	Y025 - You Make Me Brave	Ab | Fm | Eb/G | Eb | Ab | Fm | Eb | Eb 	138.0	[Eb]
601	I034 - It Is Well	Intro	130.0	[G]
602	Celebratory			
603	E009 - Every Praise	Every praise is to our God	117.5	[D]
604	W004 - We Are The Free	We’re the forgiven singing redemption's song	145.0	[A]
605	A004 - Adonai		150.0	[B]
606	A008 - Alive	I was lost with a broken heart	133.0	[E]
607	A009 - All About You	A  E/G#  D	120.0	[A]
608	A010 - All Because Of Jesus	Giver of every breath I breathe	140.0	[C]
609	A013 - All My Fountains		116.0	[E]
610	A014 - All Of My Days	Proclaim Your awesome power	164.0	[E]
611	A015 - All Over The World	Even as the world began the stars they sang		[B]
612	A021 - Always Will	Where I go, You will go		[D]
613	G010 - God Is Great	All creation cries to You		[B]
614	J010 - Jesus You Alone	Jesus You alone shall be my first love, my first love	130.0	[A]
615	Y019 - Your Grace Is Enough	Great is Your faithfulness oh God		[G]
616	I027 - In Your Light	In Your light I find my strength		[A]
617	S013 - Sing Sing Sing	We will sing sing sing	145.0	[E]
618	T013 - This Is Amazing Grace	   Who breaks the power of sin and darkness	116.0	[A]
619	L005 - Let It Rise	Let the glory of the Lord rise among us		[E]
620	L002 - Let Everything That Has Breath	Praise You in the morning, praise You in the evening	116.0	[E]
621	O013 - One Way	I lay my life down at Your feet   You’re the only one I need	135.0	[B]
622	O014 - Only A God Like You	For the praises of man I will never stand	112.0	[G]
623	M003 - Majestic	O Lord our Lord how majestic is	126.0	[D]
624	O018 - Open Up The Heavens		116.0	[D]
625	L010 - Look How He Lifted Me		115.1	[G]
626	L001 - Lay Me Down	With this heart open wide  	136.0	[C]
627	A031 - Awesome Is The Lord Most High	Great are You Lord mighty in strength	134.0	[G]
628	K002 - King	We have heard the thunder and we have seen the storm	148.0	[C]
629	M006 - Marvelous Light	 Into marvelous light I’m running	125.0	[A]
630	G014 - God's Romance	There's a song that everyone can sing		[A]
631	E002 - Endless Light	From the highest throne to the earth below	121.5	[C]
632	O022 - Our Love Is Loud	When we sing hear our songs to You		[E]
633	C007 - Closer (Hillsong)	There is no life without You   	120.0	[C]
634	E005 - Evermore	Lost for words with all to say		[G]
635	H001 - Hallelujah (Your love is amazing)	Your love is amazing steady and unchanging		[G]
636	H002 - Happy Day	The greatest day in history	139.0	[C]
637	S001 - Salvation Is Here	God above all the world in motion	114.0	[B]
638	B008 - Better Than Life	Better than the riches of this world		[G, None]
639	Y012 - You Deserve	What is this love given to us	150.0	[G]
640	X002 - My Soul Magnifies The Lord	Good news of great joy        for every woman, every man		[G]
641	X005 - O Come All Ye Faithful	O come all ye faithful	87.0	[G]
642	X001 - Angels We Have Heard On High	Angels we have heard on high	128.0	[G]
643	F005 - Father Of Lights	Father of lights, You delight in Your children		[A]
644	T002 - Take It All	Searching the world the lost will be found	152.0	[B]
645	F007 - Filled With Your Glory	In my heart, in my heart there is a fire burning	123.0	[G]
646	I002 - I Am Free	  Through You the blind will see		[D]
647	H015 - Here Is Our King	Here is our King, here is our Love	125.0	[G]
648	D007 - The Difference	You are the difference in us	152.0	[A]
649	N002 - No Chains On Me	This is the dream, a dream for the world to see You		[C]
650	X004 - Joy To The World (Unspeakable Joy)	Joy to the world, the Lord is come	132.1	[C]
651	N013 - Nothing Is Impossible	Through You I can do anything 	142.0	[G]
652	N009 - Not To Us	The cross before me the world behind		[A]
653	X003 - Joy To The World	Joy to the world, the Lord is come		[C]
654	H017 - His Banner Over Me	He brought me to His banqueting table (echo)	110.0	[G]
655	H021 - Holy Is The Lord	Holy is the Lord.  Holy is the Lord		[C]
656	N015 - Now That You're Near	  Hold me in Your arms,  never let me go		[E]
657	O005 - O Praise Him	Turn your ear to heaven and hear the noise inside		[A]
658	S009 - Shine A Light	 Waking up to another life		[D]
659	B012 - Blessed Be Your Name	Blessed be Your name in the land that is plentiful	118.0	[A]
660	B017 - Build Your Kingdom Here	Come set Your rule and reign in our hearts again		[C]
661	C005 - Chosen Generation	We run, with passion for Your name, we run	138.0	[A]
662	T021 - Trading My Sorrows (Yes, Lord)	I’m trading my   sorrows, I’m trading my   shame		[G]
663	Y001 - You	Invading all my weakness You wrapped me up in grace 	143.0	[A]
664	W002 - Wake	At break of day in hope we rise	131.0	[G]
665	I020 - I'm Going Free (Jailbreak)		115.0	[E]
666	I021 - I'm Not Ashamed	When You found me		[G]
667	D002 - Did You Feel The Mountains Tremble	Did you feel the mountains tremble? Did you hear the oceans roar?	121.0	[C]
668	D003 - Do What You Want To	It's Your heart we're searching for 	115.0	[D]
669	F012 - Forever (Give Thanks)	Give thanks to the Lord	118.0	[G]
670	F018 - Friend Of God	Who am I that You are mindful of me	127.0	[E]
671	G006 - Go	In the Father there is freedom	150.0	[A]
672	F015 - Found In You		118.0	[C]
673	G005 - Glory	  Great is the Lord God Almighty	110.0	[E]
674	G024 - Glorious	A	147.0	[A, A]
675	G025 - God Is Here	  Open our eyes, Lord, we want to see You	121.0	[D]
676	O024 - Only Wanna Sing		131.5	[G]
677	Desperation & Dependence			
678	I026 - In Your Freedom	I search for You God of strength 		[C]
679	A006 - Alabaster Jar	This alabaster jar is all I have of worth	144.0	[G]
680	A018 - All Who Are Thirsty	All who are thirsty, all who are weak	152.0	[E]
681	A019 - Always	Did You rise the sun for me		[D]
682	A020 - Always Enough	In a dry and weary land		[G]
683	G012 - God Of My Days	You awaken my heart from slumbering		[G]
684	A025 - Anchor	I have this hope as an anchor for my soul	146.0	[E]
685	M001 - Made Me Glad	I will bless the Lord forever	162.0	[B]
686	J006 - Jesus Lover Of My Soul (Hillsong)	Jesus, lover of my soul         		[G]
687	O008 - One Desire	   You gave it all for me,    my soul desire my everything		[E]
688	H023 - Hope of the World	"For the love poured out	 For the price of freedom  "		[A]
689	L012 - Lord I Need You	Lord I come, I confess		[A]
690	L014 - Love Like Fire	I am desperate for Your touch 		[E]
691	I029 - It Is Well	When peace like a river attendeth my way		[C]
692	L003 - Let It Be Jesus	Let it be Jesus      the first name that I call	68.0	[G]
693	O015 - Only You	 Take my heart, I lay it down		[C]
694	A027 - As We Seek Your Face	As we seek Your face, may we know Your heart		[G]
695	A028 - At The Cross	Oh Lord You've searched me		[E]
696	G018 - Great Are You Lord		140.5	[A]
697	O019 - Open Up The Sky	Our beloved Father, please come down and meet us		[A]
698	D005 - Draw Me Close	Draw me close to You never let me go 	135.0	[A]
699	S015 - Sinking Deep	Standing here in Your presence	140.0	[G]
700	E001 - Eagle's Wings	Here I am waiting		[E]
701	E003 - Enough	You are my supply my breath of life		[G]
702	P002 - The Power Of Your Love	Lord I come to You, let my heart be changed, renewed		[G]
703	T016 - This Is Our God	"A refuge for the poor a shelter from the storm this is our God	"		[E]
704	M012 - My God Reigns	I have a hope so sure an anchor for my soul	82.0	[A]
705	P006 - Pursuit	Strip everything away    	144.0	[A]
706	R002 - Reaching For You	You created me inside Your great imagination	135.4	[A]
707	T017 - 'Til I See You	The greatest love that anyone could ever know		[E]
708	T019 - To Be Like You	Humble King, Holy One		[C]
709	H006 - Healer	You hold my every moment  	154.0	[A]
710	S005 - Second Chance	You called my name reached out Your hand	144.0	[A]
711	B007 - Better Is One Day	How lovely is Your dwelling place O Lord Almighty	146.0	[E]
712	E008 - Everything And Nothing Less	  Humbly I stand, an offering  	142.0	[G]
713	F002 - Faithful One	Faithful One so unchanging		[D]
714	H022 - Holy Spirit	There's nothing worth more, that will ever come close	139.0	[G]
715	Y017 - You'll Come	I have decided I have resolved		[E]
716	S018 - Spirit Break Out	Spirit break out                                                  	148.0	[C]
717	S022 - Stir In Me	"Stir in me a fire that the world cannot explain 		"	117.7	[F]
718	H007 - Healing	Broken and beaten,   I come to You		[A]
719	F003 - Fall	I love to worship You my God		[E]
720	F004 - Fall In This Place	Take me to that place Lord		[A]
721	T001 - Take Heart	There is a light, it burns brighter than the sun		[G]
722	F006 - Fill Me Up	You provide the fire        	140.0	[A]
723	T003 - Take My Life	Holiness, holiness is what I long for 		[G]
724	T004 - Take My Life (Here Am I)	Take my life and let it be consecrated Lord to Thee	86.0	[D]
725	H013 - Here In My Life	I have never walked on water felt the waves beneath my feet but		[B]
726	K005 - The King Is Among Us	All our fathers saw in the days of old	142.0	[A]
727	Y022 - Your Presence Is Heaven To Me	Who is like You Lord in all the earth	136.0	[A]
728	N012 - Nothing I Hold Onto	I lean not on my own understanding	134.0	[G, None]
729	N008 - Not For A Moment			[E]
730	H016 - Here's My Heart	Here’s my heart Lord (3X)	81.0	[A]
731	B010 - Blessed	Blessed are those who dwell in Your house		[D]
732	N014 - Nothing Is Wasted	Verse 1		[A]
733	O001 - O Come To The Altar		140.0	[G]
734	O003 - Oceans (Where Feet May Fail)	  You call me out upon the waters	132.0	[D]
735	S021 - Still			[C]
736	S023 - Strong God	Father to the fatherless, Defender of the weak 	130.0	[G]
737	H025 - Hungry	Hungry I come to You for I know You satisfy		[E]
738	S007 - Set A Fire	 There’s no place I would rather be	68.0	[B]
739	B014 - Break Our Hearts	Break our hearts, oh God, break our hearts		[A]
740	B015 - Breathe	  This is the air I breathe	66.5	[G]
741	B018 - Bread of Life	Bread of life, living water, come feed my soul		[A]
742	C002 - Can A Nation Be Changed	Can a nation be changed?		[A]
743	U001 - Unashamed	I have not much to offer You, not near what You deserve		[E]
744	W020 - With Everything	Open our eyes to see the things that make Your heart cry	138.0	[A]
745	C008 - Closer (Pull Me A Little Closer)	Your love has ravished my heart	70.0	[G]
746	C011 - Come Home Running	Oh heart of mine, why must you stray		[A]
747	C015 - Come Ye Sinners	 Come ye sinners, poor and needy	150.0	[A]
748	C016 - Consuming Fire	There must be more than this		[G]
749	W001 - Waiting Here For You		132.0	[G]
750	I004 - I Come	I come to give  an offering		[G]
751	W003 - We Are Hungry	  Lord I want more of You  living water rain down on me	88.0	[G]
752	I007 - I Give Myself Away	I give myself away    		[D]
753	W005 - We Cry Out	Father of life, seated on Your throne of grace		[G]
754	I009 - I Lift My Hands	Be still, there is a Healer	154.0	[G]
755	I010 - I Need You	I am frail, broken easily		[A]
756	I011 - I Need You More	I need You more, more than yesterday		[D]
757	I014 - I Surrender	Here I am, down on my knees again	154.0	[E]
758	W011 - What A Fellowship	What a fellowship, what a joy divine	88.6	[E]
759	W014 - Where We Belong	 There is no height or depth		[A]
760	I023 - In Christ Alone (I Place My Trust)	In Christ alone I place my trust		[G]
761	S012 - Show Me Your Glory	I see the cloud           I step in          		[E]
762	G008 - God I Look To You	God I look to You, I won’t be overwhelmed	136.0	[A]
763	F008 - Fire Fall Down	You bought my life with the blood that You shed on the cross 		[E]
764	G003 - Give Us Clean Hands	  We bow our hearts,   we bend our knees		[G]
765	F009 - Follow You	You lived among the least of these		[A]
766	F017 - Freedom Reigns	Where the Spirit of the Lord is there is freedom		[A]
767	H035 - Here As In Heaven		139.0	[D]
768	H036 - Hear Us From Heaven	Lord hear our cry    	144.0	[G]
769	S026 - Spirit Of The Living God	 Spirit of the living God 	134.0	[D]
770	I033 - I Need Thee Every Hour	I need thee every hour, most gracious Lord	140.0	[G]
771	D006 - Do It Again	 	172.0	[Bb]
772	M016 - Miracles		144.0	[D]
773	L016 - Let There Be Light	| C | C | G/F | F | G6 | G | Fmaj7 | F |	142.0	[C]
774	Y025 - You Make Me Brave	Ab | Fm | Eb/G | Eb | Ab | Fm | Eb | Eb 	138.0	[Eb]
775	I034 - It Is Well	Intro	130.0	[G]
776	I032 - I Came For You		148.0	[C]
777	R009 - Ready For You		172.0	[G]
778	F020 - Flame Of Fire Rushing Wind			[Gb, A]
779	Freedom			
780	W004 - We Are The Free	We’re the forgiven singing redemption's song	145.0	[A]
781	I026 - In Your Freedom	I search for You God of strength 		[C]
782	A008 - Alive	I was lost with a broken heart	133.0	[E]
783	Y003 - You Alone Can Rescue	Who oh Lord could save themselves	152.0	[B]
784	R005 - Resurrecting		148.0	[A, C]
785	P001 - Place Of Freedom			[E]
786	R001 - Raised To Life	Precious compassion that pours 	156.0	[C]
787	R007 - Running	Ready at the line looking out, looking out to all that's ahead		[A]
788	S001 - Salvation Is Here	God above all the world in motion	114.0	[B]
789	H006 - Healer	You hold my every moment  	154.0	[A]
790	Y017 - You'll Come	I have decided I have resolved		[E]
791	H010 - Heaven And Earth			[E]
792	I002 - I Am Free	  Through You the blind will see		[D]
793	A033 - The Anthem	By His stripes we are healed	146.0	[G]
794	D007 - The Difference	You are the difference in us	152.0	[A]
795	N002 - No Chains On Me	This is the dream, a dream for the world to see You		[C]
796	N004 - No Longer Slaves	You unravel me with a melody	148.0	[A]
797	S009 - Shine A Light	 Waking up to another life		[D]
798	B013 - Break Every Chain	There is power in the name of Jesus  (x3)		[A]
799	S011 - Shout Unto God	The enemy has been defeated	147.0	[A]
800	I020 - I'm Going Free (Jailbreak)		115.0	[E]
801	G006 - Go	In the Father there is freedom	150.0	[A]
802	F016 - Free	Who will free me from this body of death		[G]
803	F017 - Freedom Reigns	Where the Spirit of the Lord is there is freedom		[A]
804	Y024 - Your Love Awakens Me	B /// | // C#m7 / | E /// | // F#sus /	101.0	[B]
805	P007 - Praise The King	There’s a reason why the curse of sin is broken	147.0	[C]
806	L016 - Let There Be Light	| C | C | G/F | F | G6 | G | Fmaj7 | F |	142.0	[C]
807	Traditional			
808	D004 - Doxology	Praise Him all creatures here below	146.0	[G]
809	A007 - Alas And Did My Savior Bleed	Alas! And did my Savior bleed and did my Sovereign die		[F]
810	A011  - All Hail The Power Of Jesus Name	All hail the power of Jesus name let angels prostrate fall		[F]
811	A024 - Amazing Grace	Amazing Grace! How sweet the sound	145.0	[E]
812	A026 - As The Deer	As the deer panteth for the water		[C]
813	I029 - It Is Well	When peace like a river attendeth my way		[C]
814	B001 - Be Thou My Vision	Be Thou my vision O Lord of my heart	170.0	[D]
815	B004 - Because He Lives	God sent His Son		[G]
816	T015 - This Is My Father's World	This is my Father's world, and to my listening ears	95.0	[C]
817	I015 - I Surrender All	All to Jesus I surrender	152.0	[D]
818	G022 - Great Is Thy Faithfulness	Great is Thy faithfulness, O God my Father	151.0	[D]
819	T018 - Tis So Sweet To Trust In Jesus	’Tis so sweet to trust in Jesus,	80.0	[G]
820	H031 - How Great Thou Art	O Lord my God, when I in awesome wonder	132.0	[G]
821	H033 - How Marvelous	I stand amazed in the presence of	163.0	[G]
822	T005 - Take My Life and Let It Be	Take my life and let it be consecrated Lord to Thee		[D]
823	M014 - My Jesus I Love Thee	My Jesus, I love Thee I know Thou   are mine		[D]
824	O025 - The Old Rugged Cross	On a hill far away stood an old rugged cross	84.0	[G]
825	S027 - The Solid Rock	"My hope is built on nothing less	   "	142.0	[D]
826	N010 - Nothing But The Blood 	What can wash away my sin		[E]
827	O004 - Oh For A Thousand Tongues To Sing	O for a thousand tongues to sing	152.0	[G]
828	H020 - Holy Holy Holy Lord God Almighty	Holy, Holy, Holy!  Lord God Almighty	110.0	[C, A]
829	B011 - Blessed Assurance	Blessed assurance Jesus is mine	137.0	[C, C]
830	T022 - Trust And Obey	When we walk with the Lord in the light of His Word 	168.0	[Bb]
831	T010 - Turn Your Eyes Upon Jesus	Look full in His wonderful face		[D]
832	W021 - Wonderful Merciful Savior	Wonderful, merciful Savior		[C]
833	C013 - Come Thou Fount	Come thou fount of every blessing	143.0	[C]
834	W011 - What A Fellowship	What a fellowship, what a joy divine	88.6	[E]
835	I019 - I'd Rather Have Jesus	I’d rather have Jesus than silver or gold	101.9	[C]
836	I033 - I Need Thee Every Hour	I need thee every hour, most gracious Lord	140.0	[G]
837	W024 - What A Friend We Have In Jesus	What a friend we have in Jesus	150.0	[D]
838	Holy Spirit			
839	O016 - Open Heaven (River Wild)		138.0	[C]
840	P004 - Presence Power Glory		142.5	[G]
841	H022 - Holy Spirit	There's nothing worth more, that will ever come close	139.0	[G]
842	S018 - Spirit Break Out	Spirit break out                                                  	148.0	[C]
843	F003 - Fall	I love to worship You my God		[E]
844	F004 - Fall In This Place	Take me to that place Lord		[A]
845	K005 - The King Is Among Us	All our fathers saw in the days of old	142.0	[A]
846	B018 - Bread of Life	Bread of life, living water, come feed my soul		[A]
847	C009 - Come And Fill Me Up	I can feel You flowing through me		[A]
848	C016 - Consuming Fire	There must be more than this		[G]
849	F017 - Freedom Reigns	Where the Spirit of the Lord is there is freedom		[A]
